time,open,high,low,close,21 SMMA,50 SMMA,100 SMMA,200 SMMA,EMA(2),Buy,Sell,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,SuperTrend,Supertrend HTF,Supertrend HTF Trend Up,Supertrend HTF Trend Down,Volume,Volume MA,3 Line Strike Up,ATR
1104706800,5.949,6.805,5.71,6.321,5.321782476640568,4.1990658896668815,3.3472556232706423,NaN,6.43858385516826,0,0,7.0125,8.030000000000001,7.3,5.012499999999999,5.8100000000000005,4.395727257434983,7.090261901047707,NaN,7.090261901047707,684245,696219.85,0,1.4775371309866894
1107212400,6.31,6.8,5.85,6.73,5.388840453943398,4.249684571873543,3.3810830670379364,NaN,6.632861285056087,0,0,7.0125,8.145,7.73,5.085,5.8100000000000005,4.395727257434983,6.87449407220793,NaN,NaN,689619,691177,0,1.4398559073447827
1109631600,6.721,7.74,6.55,7.653,5.496657575184189,4.317750880436073,3.4238022363675573,NaN,7.312953761685362,0,0,7.0125,8.145,7.863,7.0725,6.759999999999999,4.395727257434983,6.87449407220793,NaN,NaN,682546,690396,0,1.4220090568201553
1112310000,7.65,7.904,6.55,6.585,5.548483404937322,4.363095862827351,3.455414214003882,NaN,6.82765125389512,0,1,7.0125,6.947499999999999,7.935,7.0725,6.759999999999999,4.395727257434983,6.925007858390791,6.925007858390791,NaN,689471,690169.45,0,1.4171512670472872
1114984800,6.52,6.84,6.13,6.379,5.588031814226021,4.403413945570804,3.4846500718638436,NaN,6.5285504179650395,0,0,7.0125,6.947499999999999,6.773,7.0725,6.759999999999999,4.395727257434983,7.329640048694859,NaN,7.329640048694859,616159,683757.1,0,1.3666404622581954
1117576800,6.38,7.915,6.371,6.981,5.65436363259621,4.454965666659388,3.5196135711452055,NaN,6.830183472655013,0,0,7.607499999999999,6.947499999999999,6.191,7.1875,6.759999999999999,4.395727257434983,6.712878636490707,NaN,NaN,826298,679337.5,0,1.3793090006683244
1120168800,6.98,8.29,6.949,7.885,5.7605844119963905,4.5235663533262,3.5632674354337537,NaN,7.533394490885004,0,0,7.455,6.947499999999999,5.468,7.33,6.759999999999999,4.555775638109205,6.4516826127913545,6.4516826127913545,NaN,642986,675834,0,1.3765726434777297
1122847200,7.9,12.3,7.9,11.472,6.032556582853705,4.662535026259676,3.642354761079416,NaN,10.159131496961667,0,0,9.005,8.345,6.87,7.3475,6.875,5.700630270211052,7.052780371593267,NaN,NaN,778487,678649.1,0,1.593603168943606
1125525600,11.419,14.59,10.608,13.921,6.408196745574957,4.847704325734482,3.7451412134686217,NaN,12.667043832320555,0,0,10.15,9.49,8.33,7.452500000000001,6.875,6.371487236096767,9.76670463948669,NaN,NaN,606048,682513.8,0,1.7642029425904915
1128290400,13.802,14.75,12.14,12.205,6.6842349957856735,4.994850239219793,3.829739801333935,NaN,12.359014610773519,0,0,10.3,9.57,7.302,7.51,6.875,7.027873276040879,11.953207001390698,NaN,NaN,554501,683021.8,0,1.824617018119742
1130799600,12.21,12.695,11,12.63,6.967366662653022,5.147553234435398,3.917742403320596,NaN,12.539671536924507,0,0,10.44,9.585,7.483,7.51,6.875,7.027873276040879,11.953207001390698,NaN,NaN,582283,678142.85,0,1.8153586596826177
